duration,tenure_group,division,comprate,num_of_pay_raise,sex,ethnicity,mar_status,highest_educ_lvl,end_age_group,start_age_group,classification,pay_increase_ot,last_jobtitle_duration,emplid_sec,event
197,.under_1,Adult Services,26.738,1,M,NSPEC,U,A,.under_29,.under_29,Staff,0.0,197.0,wop6wqbClMKLwp4=,V Termination
196,.under_1,Adult Services,26.738,1,M,NSPEC,U,A,.under_29,.under_29,Staff,0.0,196.0,wop6wqbClMKEwp0=,V Termination
202,.under_1,Adult Services,31.2797,1,M,ASIAN,U,A,35_to_39,35_to_39,Staff,0.0,202.0,wop6wqbClMKDwqY=,V Termination
176,.under_1,Adult Services,18.1933,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,176.0,wop6wqbCk8KKwp4=,V Termination
68,.under_1,Children Services,38.0566,1,M,NSPEC,U,A,50_to_54,50_to_54,Staff,0.0,68.0,wop6wqbCk8KGwqU=,IV Termination
12,.under_1,Self Sufficiency,19.9412,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,12.0,wop6wqbCksKMwqE=,V Termination
4,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0,4.0,wop6wqXCm8KMwqY=,V Termination
1,.under_1,Self Sufficiency,16.0067,1,M,NSPEC,U,A,40_to_44,40_to_44,Staff,0.0,1.0,wop6wqXCm8KMwqQ=,V Termination
271,.under_1,Self Sufficiency,17.562552,2,F,NSPEC,U,A,30_to_34,.under_29,Staff,0.005741151291512921,271.0,wop6wqXCm8KMwqM=,V Termination
93,.under_1,Self Sufficiency,16.887069,2,F,NSPEC,U,A,35_to_39,35_to_39,Staff,0.009466333333333353,93.0,wop6wqXCm8KKwqA=,V Termination
238,.under_1,Self Sufficiency,16.887069,2,M,HISPA,U,A,.under_29,.under_29,Staff,0.003699029411764713,238.0,wop6wqXCm8KKwp0=,V Termination
43,.under_1,Self Sufficiency,16.0067,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0,43.0,wop6wqXCm8KJwqY=,V Termination
177,.under_1,Self Sufficiency,19.5237,1,F,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0,177.0,wop6wqXCm8KJwqQ=,V Termination
104,.under_1,Self Sufficiency,16.887069,2,F,NSPEC,U,A,.under_29,.under_29,Staff,0.008465086538461555,104.0,wop6wqXCm8KJwqA=,V Termination
295,.under_1,Self Sufficiency,17.562552,2,F,NSPEC,U,A,.under_29,.under_29,Staff,0.0022897728813559316,295.0,wop6wqXCm8KJwp8=,V Termination
330,.under_1,Self Sufficiency,17.562552,2,F,NSPEC,U,A,.under_29,.under_29,Staff,0.004714703030303035,330.0,wop6wqXCm8KJwp4=,V Termination
83,.under_1,Self Sufficiency,16.0067,1,M,NSPEC,U,A,30_to_34,30_to_34,Staff,0.0,83.0,wop6wqXCm8KIwqU=,IV Termination
